year,gender,distance,event
1988,mens,100,backstroke-final
1992,mens,100,backstroke-final
1996,mens,100,backstroke-final
2000,mens,100,backstroke-final
2004,mens,100,backstroke-final
2008,mens,100,backstroke-final
2012,mens,100,backstroke-final
1988,mens,200,backstroke-final
1992,mens,200,backstroke-final
1996,mens,200,backstroke-final
2000,mens,200,backstroke-final
2004,mens,200,backstroke-final
2008,mens,200,backstroke-final
2012,mens,200,backstroke-final
1988,mens,100,breaststroke-final
1992,mens,100,breaststroke-final
1996,mens,100,breaststroke-final
2000,mens,100,breaststroke-final
2004,mens,100,breaststroke-final
2008,mens,100,breaststroke-final
2012,mens,100,breaststroke-final
1988,mens,200,breaststroke-final
1992,mens,200,breaststroke-final
1996,mens,200,breaststroke-final
2000,mens,200,breaststroke-final
2004,mens,200,breaststroke-final
2008,mens,200,breaststroke-final
2012,mens,200,breaststroke-final
1988,mens,100,butterfly-final
1992,mens,100,butterfly-final
1996,mens,100,butterfly-final
2000,mens,100,butterfly-final
2004,mens,100,butterfly-final
2008,mens,100,butterfly-final
2012,mens,100,butterfly-final
1988,mens,200,butterfly-final
1992,mens,200,butterfly-final
1996,mens,200,butterfly-final
2000,mens,200,butterfly-final
2004,mens,200,butterfly-final
2008,mens,200,butterfly-final
2012,mens,200,butterfly-final
1988,mens,50,freestyle-final
1992,mens,50,freestyle-final
1996,mens,50,freestyle-final
2000,mens,50,freestyle-final
2004,mens,50,freestyle-final
2008,mens,50,freestyle-final
2012,mens,50,freestyle-final
1988,mens,100,freestyle-final
1992,mens,100,freestyle-final
1996,mens,100,freestyle-final
2000,mens,100,freestyle-final
2004,mens,100,freestyle-final
2008,mens,100,freestyle-final
2012,mens,100,freestyle-final
1988,mens,200,freestyle-final
1992,mens,200,freestyle-final
1996,mens,200,freestyle-final
2000,mens,200,freestyle-final
2004,mens,200,freestyle-final
2008,mens,200,freestyle-final
2012,mens,200,freestyle-final
1988,mens,400,freestyle-final
1992,mens,400,freestyle-final
1996,mens,400,freestyle-final
2000,mens,400,freestyle-final
2004,mens,400,freestyle-final
2008,mens,400,freestyle-final
2012,mens,400,freestyle-final
1988,mens,1500,freestyle-final
1992,mens,1500,freestyle-final
1996,mens,1500,freestyle-final
2000,mens,1500,freestyle-final
2004,mens,1500,freestyle-final
2008,mens,1500,freestyle-final
2012,mens,1500,freestyle-final
1988,mens,200,individual-medley-final
1992,mens,200,individual-medley-final
1996,mens,200,individual-medley-final
2000,mens,200,individual-medley-final
2004,mens,200,individual-medley-final
2008,mens,200,individual-medley-final
2012,mens,200,individual-medley-final
1988,mens,400,individual-medley-final
1992,mens,400,individual-medley-final
1996,mens,400,individual-medley-final
2000,mens,400,individual-medley-final
2004,mens,400,individual-medley-final
2008,mens,400,individual-medley-final
2012,mens,400,individual-medley-final
