"","rank","athlete","age","team","noc","t","year","gender","event","distance","round"
"1","1","Daichi Suzuki","21","Japan","JPN","55.05",1988,"mens","backstroke",100,"final"
"2","2","Dave Berkoff","21","United States","USA","55.18",1988,"mens","backstroke",100,"final"
"3","3","Igor Polyansky","21","Soviet Union","URS","55.20",1988,"mens","backstroke",100,"final"
"4","4","Sergey Zabolotnov","25","Soviet Union","URS","55.37",1988,"mens","backstroke",100,"final"
"5","5","Mark Tewksbury","20","Canada","CAN","56.09",1988,"mens","backstroke",100,"final"
"6","6","Frank Baltrusch","24","East Germany","GDR","56.10",1988,"mens","backstroke",100,"final"
"7","7","Frank Hoffmeister","22","West Germany","FRG","56.19",1988,"mens","backstroke",100,"final"
"8","8","Sean Murphy","24","Canada","CAN","56.32",1988,"mens","backstroke",100,"final"
"9","1","Mark Tewksbury","24","Canada","CAN","53.98",1992,"mens","backstroke",100,"final"
"10","2","Jeff Rouse","21","United States","USA","54.04",1992,"mens","backstroke",100,"final"
"11","3","Dave Berkoff","25","United States","USA","54.78",1992,"mens","backstroke",100,"final"
"12","4","Martín López-Zubero","23","Spain","ESP","54.96",1992,"mens","backstroke",100,"final"
"13","5","Vladimir Selkov","21","Unified Team","EUN","55.49",1992,"mens","backstroke",100,"final"
"14","6","Franck Schott","22","France","FRA","55.72",1992,"mens","backstroke",100,"final"
"15","7","Rodolfo Falcón","19","Cuba","CUB","55.76",1992,"mens","backstroke",100,"final"
"16","8","Dirk Richter","27","Germany","GER","56.26",1992,"mens","backstroke",100,"final"
"17","1","Jeff Rouse","25","United States","USA","54.10",1996,"mens","backstroke",100,"final"
"18","2","Rodolfo Falcón","23","Cuba","CUB","54.98",1996,"mens","backstroke",100,"final"
"19","3","Neisser Bent","19","Cuba","CUB","55.02",1996,"mens","backstroke",100,"final"
"20","4","Martín López-Zubero","27","Spain","ESP","55.22",1996,"mens","backstroke",100,"final"
"21","5","Tripp Schwenk","25","United States","USA","55.30",1996,"mens","backstroke",100,"final"
"22","6","Emanuele Merisi","23","Italy","ITA","55.53",1996,"mens","backstroke",100,"final"
"23","7","Ralf Braun","23","Germany","GER","55.56",1996,"mens","backstroke",100,"final"
"24","8","Franck Schott","26","France","FRA","55.76",1996,"mens","backstroke",100,"final"
"25","1","Lenny Krayzelburg","24","United States","USA","53.72",2000,"mens","backstroke",100,"final"
"26","2","Matt Welsh","23","Australia","AUS","54.07",2000,"mens","backstroke",100,"final"
"27","3","Stev Theloke","22","Germany","GER","54.82",2000,"mens","backstroke",100,"final"
"28","4","Josh Watson","23","Australia","AUS","55.01",2000,"mens","backstroke",100,"final"
"29","5","Bartosz Kizierowski","23","Poland","POL","55.04",2000,"mens","backstroke",100,"final"
"30","6","Neil Walker","24","United States","USA","55.14",2000,"mens","backstroke",100,"final"
"31","7","Steffen Driesen","18","Germany","GER","55.27",2000,"mens","backstroke",100,"final"
"32","8","Eithan Urbach","23","Israel","ISR","55.74",2000,"mens","backstroke",100,"final"
"33","1","Aaron Peirsol","21","United States","USA","54.06",2004,"mens","backstroke",100,"final"
"34","2","Markus Rogan","22","Austria","AUT","54.35",2004,"mens","backstroke",100,"final"
"35","3","Tomomi Morita","19","Japan","JPN","54.36",2004,"mens","backstroke",100,"final"
"36","4","Lenny Krayzelburg","28","United States","USA","54.38",2004,"mens","backstroke",100,"final"
"37","5","Matt Welsh","27","Australia","AUS","54.52",2004,"mens","backstroke",100,"final"
"38","6","László Cseh, Jr.","18","Hungary","HUN","54.61",2004,"mens","backstroke",100,"final"
"39","7","Steffen Driesen","22","Germany","GER","54.63",2004,"mens","backstroke",100,"final"
"40","8","Marco di Carli","19","Germany","GER","55.27",2004,"mens","backstroke",100,"final"
"41","1","Aaron Peirsol","25","United States","USA","52.54",2008,"mens","backstroke",100,"final"
"42","2","Matt Grevers","23","United States","USA","53.11",2008,"mens","backstroke",100,"final"
"43","3","Arkady Vyachanin","24","Russia","RUS","53.18",2008,"mens","backstroke",100,"final"
"44","3","Hayden Stoeckel","23","Australia","AUS","53.18",2008,"mens","backstroke",100,"final"
"45","5","Ash Delaney","22","Australia","AUS","53.31",2008,"mens","backstroke",100,"final"
"46","6","Liam Tancock","23","Great Britain","GBR","53.39",2008,"mens","backstroke",100,"final"
"47","7","Aschwin Wildeboer","22","Spain","ESP","53.51",2008,"mens","backstroke",100,"final"
"48","8","Junichi Miyashita","24","Japan","JPN","53.99",2008,"mens","backstroke",100,"final"
"49","1","Matt Grevers","27","United States","USA","52.16",2012,"mens","backstroke",100,"final"
"50","2","Nick Thoman","26","United States","USA","52.92",2012,"mens","backstroke",100,"final"
"51","3","Ryosuke Irie","22","Japan","JPN","52.97",2012,"mens","backstroke",100,"final"
"52","4","Camille Lacourt","27","France","FRA","53.08",2012,"mens","backstroke",100,"final"
"53","5","Liam Tancock","27","Great Britain","GBR","53.35",2012,"mens","backstroke",100,"final"
"54","6","Helge Meeuw","27","Germany","GER","53.48",2012,"mens","backstroke",100,"final"
"55","7","Hayden Stoeckel","27","Australia","AUS","53.55",2012,"mens","backstroke",100,"final"
"56","8","Cheng Feiyi","21","China","CHN","53.77",2012,"mens","backstroke",100,"final"
"57","1","Igor Polyansky","21","Soviet Union","URS","1:59.37",1988,"mens","backstroke",200,"final"
"58","2","Frank Baltrusch","24","East Germany","GDR","1:59.60",1988,"mens","backstroke",200,"final"
"59","3","Paul Kingsman","21","New Zealand","NZL","2:00.48",1988,"mens","backstroke",200,"final"
"60","4","Sergey Zabolotnov","25","Soviet Union","URS","2:00.52",1988,"mens","backstroke",200,"final"
"61","5","Dirk Richter","24","East Germany","GDR","2:01.67",1988,"mens","backstroke",200,"final"
"62","6","Jens-Peter Berndt","25","West Germany","FRG","2:01.84",1988,"mens","backstroke",200,"final"
"63","7","Dan Veatch","23","United States","USA","2:02.26",1988,"mens","backstroke",200,"final"
"64","8","Rogério Romero","18","Brazil","BRA","2:02.28",1988,"mens","backstroke",200,"final"
"65","1","Martín López-Zubero","23","Spain","ESP","1:58.47",1992,"mens","backstroke",200,"final"
"66","2","Vladimir Selkov","21","Unified Team","EUN","1:58.87",1992,"mens","backstroke",200,"final"
"67","3","Stefano Battistelli","22","Italy","ITA","1:59.40",1992,"mens","backstroke",200,"final"
"68","4","Hajime Itoi","21","Japan","JPN","1:59.52",1992,"mens","backstroke",200,"final"
"69","5","Tripp Schwenk","21","United States","USA","1:59.73",1992,"mens","backstroke",200,"final"
"70","6","Tino Weber","22","Germany","GER","1:59.78",1992,"mens","backstroke",200,"final"
"71","7","Tamás Deutsch","22","Hungary","HUN","2:00.06",1992,"mens","backstroke",200,"final"
"72","8","Stefaan Maene","20","Belgium","BEL","2:00.91",1992,"mens","backstroke",200,"final"
"73","1","Brad Bridgewater","23","United States","USA","1:58.54",1996,"mens","backstroke",200,"final"
"74","2","Tripp Schwenk","25","United States","USA","1:58.99",1996,"mens","backstroke",200,"final"
"75","3","Emanuele Merisi","23","Italy","ITA","1:59.18",1996,"mens","backstroke",200,"final"
"76","4","Bartosz Sikora","20","Poland","POL","2:00.05",1996,"mens","backstroke",200,"final"
"77","5","Hajime Itoi","25","Japan","JPN","2:00.10",1996,"mens","backstroke",200,"final"
"78","6","Martín López-Zubero","27","Spain","ESP","2:00.74",1996,"mens","backstroke",200,"final"
"79","7","Mirko Mazzari","21","Italy","ITA","2:01.27",1996,"mens","backstroke",200,"final"
"80","8","Rodolfo Falcón","23","Cuba","CUB","2:08.14",1996,"mens","backstroke",200,"final"
"81","1","Lenny Krayzelburg","24","United States","USA","1:56.76",2000,"mens","backstroke",200,"final"
"82","2","Aaron Peirsol","17","United States","USA","1:57.35",2000,"mens","backstroke",200,"final"
"83","3","Matt Welsh","23","Australia","AUS","1:57.59",2000,"mens","backstroke",200,"final"
"84","4","Örn Arnarson","19","Iceland","ISL","1:59.00",2000,"mens","backstroke",200,"final"
"85","5","Emanuele Merisi","27","Italy","ITA","1:59.01",2000,"mens","backstroke",200,"final"
"86","6","Răzvan Florea","19","Romania","ROU","1:59.05",2000,"mens","backstroke",200,"final"
"87","7","Rogério Romero","30","Brazil","BRA","1:59.27",2000,"mens","backstroke",200,"final"
"88","8","Gordan Kožulj","23","Croatia","CRO","1:59.38",2000,"mens","backstroke",200,"final"
"89","1","Aaron Peirsol","21","United States","USA","1:54.95",2004,"mens","backstroke",200,"final"
"90","2","Markus Rogan","22","Austria","AUT","1:57.35",2004,"mens","backstroke",200,"final"
"91","3","Răzvan Florea","23","Romania","ROU","1:57.56",2004,"mens","backstroke",200,"final"
